,date,city,treated,ratio
0,2000-01-01,A,0,0.07744067519636624
1,2000-01-01,B,0,0.08575946831862097
2,2000-01-01,C,0,0.0801381688035822
3,2000-01-01,D,0,0.07724415914984485
4,2000-01-01,E,0,0.07118273996694524
5,2000-01-01,F,0,0.0822947056533328
6,2000-01-01,G,0,0.07187936056313463
7,2000-01-01,H,0,0.094588650039104
8,2000-01-01,I,0,0.09818313802505146
9,2000-01-01,J,0,0.0691720759412889
10,2000-01-01,K,0,0.08958625190413323
11,2000-01-01,L,0,0.07644474598764522
12,2000-01-01,M,0,0.07840222805469663
13,2000-01-01,N,0,0.09627983191463306
14,2000-01-01,O,0,0.05355180290989435
15,2000-01-01,P,0,0.05435646498507704
16,2000-01-01,Q,0,0.05101091987201629
17,2000-01-01,R,0,0.0916309922773969
18,2000-01-01,S,0,0.08890783754749253
19,2000-01-01,T,0,0.09350060741234097
20,2000-01-01,U,0,0.0989309171116382
21,2000-01-01,V,0,0.08995792821083619
22,2000-01-01,W,0,0.0730739681126466
23,2000-01-01,X,0,0.08902645881432278
24,2000-01-01,Y,0,0.05591372129344666
25,2000-01-01,Z,0,0.0819960510663762
26,2000-02-01,A,0,0.05716766437045232
27,2000-02-01,B,0,0.0972334458524792
28,2000-02-01,C,0,0.07609241608750358
29,2000-02-01,D,0,0.07073309699952618
30,2000-02-01,E,0,0.06322778060523135
31,2000-02-01,F,0,0.08871168447171084
32,2000-02-01,G,0,0.07280751661082743
33,2000-02-01,H,0,0.07842169744343243
34,2000-02-01,I,0,0.05093949002181776
35,2000-02-01,J,0,0.08088177485379386
36,2000-02-01,K,0,0.08060478613612107
37,2000-02-01,L,0,0.08084669984373785
38,2000-02-01,M,0,0.09718740392573122
39,2000-02-01,N,0,0.08409101495517418
40,2000-02-01,O,0,0.06797539502868931
41,2000-02-01,P,0,0.07185159768996707
42,2000-02-01,Q,0,0.08488155979636325
43,2000-02-01,R,0,0.05301127358146349
44,2000-02-01,S,0,0.08333833577228339
45,2000-02-01,T,0,0.08353189348090798
46,2000-02-01,U,0,0.06051912805369205
47,2000-02-01,V,0,0.05644631488274267
48,2000-02-01,W,0,0.0657714175462092
49,2000-02-01,X,0,0.06818553854713114
50,2000-02-01,Y,0,0.078509838520894
51,2000-02-01,Z,0,0.07193007567311602
52,2000-03-01,A,0,0.09941869190296132
53,2000-03-01,B,0,0.055102240537401405
54,2000-03-01,C,0,0.06044383780474174
55,2000-03-01,D,0,0.05806547589424982
56,2000-03-01,E,0,0.08265541627326992
57,2000-03-01,F,0,0.06266458012698911
58,2000-03-01,G,0,0.07331553864281531
59,2000-03-01,H,0,0.06222127960008014
60,2000-03-01,I,0,0.05794847918227599
61,2000-03-01,J,0,0.05551875705821526
62,2000-03-01,K,0,0.08281647947326368
63,2000-03-01,L,0,0.05690914756743069
64,2000-03-01,M,0,0.05982911808400268
65,2000-03-01,N,0,0.06843625853304822
66,2000-03-01,O,0,0.09104966149239677
67,2000-03-01,P,0,0.05485506378965307
68,2000-03-01,Q,0,0.0918972453749402
69,2000-03-01,R,0,0.054804920394698156
70,2000-03-01,S,0,0.0988229732506698
71,2000-03-01,T,0,0.07343256008238508
72,2000-03-01,U,0,0.09883805440951686
73,2000-03-01,V,0,0.08024227598725231
74,2000-03-01,W,0,0.0869631789699151
75,2000-03-01,X,0,0.05195938961271604
76,2000-03-01,Y,0,0.06414034812882048
77,2000-03-01,Z,0,0.05600982806065845
78,2000-04-01,A,0,0.06480700987610725
79,2000-04-01,B,0,0.055936385947712206
80,2000-04-01,C,0,0.0658991589696988
81,2000-04-01,D,0,0.0707131497257335
82,2000-04-01,E,0,0.05320737481743922
83,2000-04-01,F,0,0.08462360596850099
84,2000-04-01,G,0,0.07833007271032877
85,2000-04-01,H,0,0.06326947454697228
86,2000-04-01,I,0,0.07616240267333499
87,2000-04-01,J,0,0.054697025537922085
88,2000-04-01,K,0,0.07879732477780897
89,2000-04-01,L,0,0.0964648098788107
90,2000-04-01,M,0,0.0659284476225662
91,2000-04-01,N,0,0.0833705189981841
92,2000-04-01,O,0,0.056589893120219614
93,2000-04-01,P,0,0.08581636020592828
94,2000-04-01,Q,0,0.06447030464736006
95,2000-04-01,R,0,0.059159568100355844
96,2000-04-01,S,0,0.07932564674050416
97,2000-04-01,T,0,0.05100537730937468
98,2000-04-01,U,0,0.09144700146086816
99,2000-04-01,V,0,0.050234773809627355
100,2000-04-01,W,0,0.0838908268398115
101,2000-04-01,X,0,0.06350039865960824
102,2000-04-01,Y,0,0.08675970110612974
103,2000-04-01,Z,0,0.09810942725587192
104,2000-05-01,A,0,0.062437657175997904
105,2000-05-01,B,0,0.07880786672089185
106,2000-05-01,C,0,0.07960209656359196
107,2000-05-01,D,0,0.07861259528954367
108,2000-05-01,E,0,0.06115408163203092
109,2000-05-01,F,0,0.09763745057584926
110,2000-05-01,G,0,0.07235626893088137
111,2000-05-01,H,0,0.0923204336235564
112,2000-05-01,I,0,0.08497396376587521
113,2000-05-01,J,0,0.06487184754275668
114,2000-05-01,K,0,0.09068989098512387
115,2000-05-01,L,0,0.06982528704234924
116,2000-05-01,M,0,0.09405515985555808
117,2000-05-01,N,0,0.07906364363179294
118,2000-05-01,O,0,0.09408676809274265
119,2000-05-01,P,0,0.0846265795038883
120,2000-05-01,Q,0,0.08626271399098204
121,2000-05-01,R,0,0.07506621909633512
122,2000-05-01,S,0,0.0978041817361612
123,2000-05-01,T,0,0.08219950996148187
124,2000-05-01,U,0,0.07119275242790898
125,2000-05-01,V,0,0.08031966070639622
126,2000-05-01,W,0,0.05095965991546668
127,2000-05-01,X,0,0.06507874083372747
128,2000-05-01,Y,0,0.08300867687463426
129,2000-05-01,Z,0,0.06450388036052221
130,2000-06-01,A,0,0.08090077144994208
131,2000-06-01,B,0,0.0714384350472883
132,2000-06-01,C,0,0.05677370321112252
133,2000-06-01,D,0,0.06491411629780154
134,2000-06-01,E,0,0.07849824553506325
135,2000-06-01,F,0,0.07954363806240866
136,2000-06-01,G,0,0.07871626244247895
137,2000-06-01,H,0,0.08266004099285668
138,2000-06-01,I,0,0.08260516350008446
139,2000-06-01,J,0,0.0715709217716987
140,2000-06-01,K,0,0.09482732979255315
141,2000-06-01,L,0,0.06837809350239483
142,2000-06-01,M,0,0.07179324626328135
143,2000-06-01,N,0,0.09459616775078361
144,2000-06-01,O,0,0.0903096994523043
145,2000-06-01,P,0,0.08519442917701832
146,2000-06-01,Q,0,0.055011344365615056
147,2000-06-01,R,0,0.09597413068723368
