date,city,region,treated,tau,engagement,post
2021-05-01,1,E,0,2.766855948748859,11.725561967490842,0
2021-05-02,1,S,0,2.5156623627577,79.52480614866825,0
2021-05-03,1,W,0,0.9693153396844634,25.38504042108272,0
2021-05-04,1,S,0,4.294083855840773,13.951415226757351,0
2021-05-05,1,E,0,3.3847039149841867,68.83288236145714,0
2021-05-06,1,W,0,4.189541874259018,79.6542515941305,0
2021-05-07,1,W,0,4.293821396747361,83.24462184335589,0
2021-05-08,1,S,0,3.741779268328699,54.415826439454,0
2021-05-09,1,S,0,2.1960530062485866,28.48313662209868,0
2021-05-10,1,W,0,3.052733775077123,76.3504909524844,0
2021-05-11,1,N,0,0.8018270305987157,72.97417694389034,0
2021-05-12,1,W,0,3.3682270873745384,32.16436606928559,0
2021-05-13,1,N,0,0.8962662786964037,91.30669802765136,0
2021-05-14,1,N,0,3.469747952550784,19.39343122745461,0
2021-05-15,1,N,0,1.1479908037698432,98.44194156321932,1
2021-05-16,1,W,0,0.5877565007510999,87.42230298797182,1
2021-05-17,1,W,0,0.8264224507147871,71.91087809311676,1
2021-05-18,1,S,0,0.0099606760953513,94.48748994518496,1
2021-05-19,1,W,0,3.5936980892676518,75.0080051491337,1
2021-05-20,1,S,0,3.662005245291896,27.141129732704133,1
2021-05-21,1,N,0,2.574666749566297,49.79405243015306,1
2021-05-22,1,N,0,0.8068140052769185,16.435272189847183,1
2021-05-23,1,E,0,0.4177716875534487,45.06916800593039,1
2021-05-24,1,N,0,0.095644832186435,76.74427177634878,1
2021-05-25,1,S,0,0.8287408848261035,44.779901583773565,1
2021-05-26,1,S,0,4.454277674915733,39.72647579213207,1
2021-05-27,1,S,0,1.2076842085084087,63.58201502592807,1
2021-05-28,1,E,0,1.7713566360860784,88.49840760990055,1
2021-05-29,1,W,0,0.5267274224066659,14.282487329150118,1
2021-05-30,1,W,0,1.1118065237408514,44.692339122976186,1
2021-05-31,1,W,0,2.5961228539010257,24.241666763373644,1
2021-06-01,1,S,0,3.038763415478263,72.58188256586827,1
2021-05-01,2,E,0,1.2267615708310553,19.51521043880214,0
2021-05-02,2,W,0,0.288660796125586,69.83269827222202,0
2021-05-03,2,W,0,1.9551643456369927,35.75627837181166,0
2021-05-04,2,W,0,1.1710168546316706,27.902513236350224,0
2021-05-05,2,E,0,1.0977696161490096,94.27173020424868,0
2021-05-06,2,E,0,4.799314013567276,11.667211907136029,0
2021-05-07,2,E,0,3.08150242962862,49.3999544700612,0
2021-05-08,2,N,0,2.7843922158604792,11.94642932156144,0
2021-05-09,2,W,0,2.0788755176166096,53.52337432938961,0
2021-05-10,2,W,0,2.144721667150721,55.09426400149764,0
2021-05-11,2,E,0,2.704525019190404,38.94962242552723,0
2021-05-12,2,W,0,3.4821490351805364,21.89455997725213,0
2021-05-13,2,N,0,3.5107304809091477,43.87487839610278,0
2021-05-14,2,N,0,0.8584695385272478,70.50366459393095,0
2021-05-15,2,W,0,2.5005637603831348,80.41562277800132,1
2021-05-16,2,N,0,2.0597904751705096,57.76755421493281,1
2021-05-17,2,W,0,4.352634831346921,63.085095499578,1
2021-05-18,2,N,0,3.157094606091882,28.05547340121874,1
2021-05-19,2,S,0,2.662520332079909,35.85972999048845,1
2021-05-20,2,S,0,0.5769732108945869,24.57060490471226,1
2021-05-21,2,N,0,3.0281894466170574,32.436581500415016,1
2021-05-22,2,E,0,0.5860195284011671,30.23981022029786,1
2021-05-23,2,E,0,1.6860328778287603,56.750390775211386,1
2021-05-24,2,S,0,0.7142098240716593,60.641988021165645,1
2021-05-25,2,N,0,3.4603682351218445,95.0452678739354,1
2021-05-26,2,S,0,1.031260569180763,27.601358239137078,1
2021-05-27,2,E,0,1.95929686594013,67.75081391453463,1
2021-05-28,2,N,0,4.478373888093893,83.55333420887706,1
2021-05-29,2,E,0,1.0215819169948517,60.421731740474726,1
2021-05-30,2,N,0,2.5390253197938955,32.95032872509681,1
2021-05-31,2,E,0,2.09635830583011,33.62952070180002,1
2021-06-01,2,N,0,0.0906202052286486,13.532774776389992,1
2021-05-01,3,W,1,3.963790567864064,37.48998038936335,0
2021-05-02,3,N,1,0.3452295315729986,77.01433111030421,0
2021-05-03,3,S,1,2.371275104884768,14.276598148639934,0
2021-05-04,3,N,1,2.8033914746947497,29.73657542543476,0
2021-05-05,3,E,1,3.1421322830729355,73.56092486786036,0
2021-05-06,3,E,1,3.443158146539378,80.4386406540589,0
2021-05-07,3,N,1,1.2663619176135754,50.97865690557356,0
2021-05-08,3,N,1,0.0498938832922468,72.82669046307839,0
2021-05-09,3,W,1,3.61721831177456,44.91569517894028,0
2021-05-10,3,N,1,2.678282996737893,24.392192052171477,0
2021-05-11,3,E,1,4.180588516036244,45.83345441706159,0
2021-05-12,3,N,1,4.106941814503472,62.197103818282855,0
2021-05-13,3,W,1,4.216630838939416,95.32479536676011,0
2021-05-14,3,N,1,2.4254732998977007,16.18758568798096,0
2021-05-15,3,S,1,1.6681419791843282,55.66546844604645,1
2021-05-16,3,W,1,3.95779101295685,39.60278003896519,1
2021-05-17,3,E,1,2.256470565146275,55.74805248490251,1
2021-05-18,3,E,1,0.9172109820171724,12.15779026388785,1
